Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,03/03/21 08:22:38,asteroids,dqn,0,1,3432,3432,171,330,0.0,0.9658000000000038
1,03/03/21 08:22:39,asteroids,dqn,0,2,5102,1670,254,430,0.0,0.9492000000000056
1,03/03/21 08:22:41,asteroids,dqn,0,3,7172,2070,357,430,0.0,0.9286000000000079
1,03/03/21 08:22:43,asteroids,dqn,0,4,8720,1548,434,430,0.0,0.9132000000000096
1,03/03/21 08:22:45,asteroids,dqn,0,5,10604,1884,528,410,0.0,0.8944000000000116
1,03/03/21 08:22:46,asteroids,dqn,0,6,12182,1578,606,460,0.0,0.8788000000000133
1,03/03/21 08:22:48,asteroids,dqn,0,7,14132,1950,703,280,0.0,0.8594000000000155
1,03/03/21 08:22:51,asteroids,dqn,0,8,16620,2488,827,480,0.0,0.8346000000000182
1,03/03/21 08:22:56,asteroids,dqn,0,9,21124,4504,1052,830,3.347915378900675,0.7896000000000232
1,03/03/21 08:23:00,asteroids,dqn,0,10,23360,2236,1163,260,3.4865910125976103,0.7674000000000256
1,03/03/21 08:23:05,asteroids,dqn,0,11,25584,2224,1274,430,3.9177419741948447,0.7452000000000281
1,03/03/21 08:23:09,asteroids,dqn,0,12,27560,1976,1372,180,3.21728309718128,0.7256000000000302
1,03/03/21 08:23:12,asteroids,dqn,0,13,28964,1404,1442,130,3.5857249358121086,0.7116000000000318
1,03/03/21 08:23:18,asteroids,dqn,0,14,32432,3468,1615,880,3.695494094096682,0.6770000000000356
1,03/03/21 08:23:22,asteroids,dqn,0,15,34282,1850,1707,360,3.0234379917610963,0.6586000000000376
1,03/03/21 08:23:25,asteroids,dqn,0,16,36124,1842,1799,230,4.301107932641373,0.6402000000000396
1,03/03/21 08:23:28,asteroids,dqn,0,17,37506,1382,1868,310,3.9106467896986836,0.6264000000000411
1,03/03/21 08:23:30,asteroids,dqn,0,18,39034,1528,1944,110,2.872040396102851,0.6112000000000428
1,03/03/21 08:23:35,asteroids,dqn,0,19,41732,2698,2078,680,3.3379090110732554,0.5844000000000458
1,03/03/21 08:23:39,asteroids,dqn,0,20,43830,2098,2182,380,3.0919238852802664,0.5636000000000481
1,03/03/21 08:23:42,asteroids,dqn,0,21,45430,1600,2261,230,3.5793483539631494,0.5478000000000498
1,03/03/21 08:23:46,asteroids,dqn,0,22,47714,2284,2375,230,4.22150929910796,0.5250000000000523
1,03/03/21 08:23:50,asteroids,dqn,0,23,49360,1646,2457,210,4.496944314241409,0.5086000000000541
1,03/03/21 08:23:56,asteroids,dqn,0,24,52128,2768,2595,360,3.0691751428068312,0.48100000000005716
1,03/03/21 08:24:02,asteroids,dqn,0,25,55826,3698,2779,580,4.211749980226159,0.4442000000000612
1,03/03/21 08:24:06,asteroids,dqn,0,26,57890,2064,2882,160,3.731403495008126,0.4236000000000635
1,03/03/21 08:24:10,asteroids,dqn,0,27,60148,2258,2994,210,2.997729278751649,0.40120000000006595
1,03/03/21 08:24:14,asteroids,dqn,0,28,61998,1850,3086,230,3.270370578423709,0.382800000000068
1,03/03/21 08:24:17,asteroids,dqn,0,29,63468,1470,3159,210,3.1136794495137616,0.3682000000000696
1,03/03/21 08:24:20,asteroids,dqn,0,30,65292,1824,3250,130,3.9964838353070347,0.3500000000000716
1,03/03/21 08:24:27,asteroids,dqn,0,31,69310,4018,3450,280,3.426700550816022,0.310000000000076
1,03/03/21 08:24:32,asteroids,dqn,0,32,71894,2584,3579,280,3.4971776814491022,0.28420000000007883
1,03/03/21 08:24:36,asteroids,dqn,0,33,73724,1830,3670,130,2.536854338557036,0.26600000000008084
1,03/03/21 08:24:39,asteroids,dqn,0,34,75550,1826,3761,180,2.201866727216508,0.24780000000008254
1,03/03/21 08:24:42,asteroids,dqn,0,35,77208,1658,3843,330,3.7331551848794335,0.23140000000008207
1,03/03/21 08:24:46,asteroids,dqn,0,36,79336,2128,3949,160,3.1590109852930675,0.21020000000008146
1,03/03/21 08:24:50,asteroids,dqn,0,37,81794,2458,4071,130,3.1653478608621906,0.18580000000008076
1,03/03/21 08:24:54,asteroids,dqn,0,38,83964,2170,4179,110,2.735378481671904,0.16420000000008014
1,03/03/21 08:24:57,asteroids,dqn,0,39,85626,1662,4262,80,2.7980387040879577,0.14760000000007967
1,03/03/21 08:25:03,asteroids,dqn,0,40,88490,2864,4405,380,3.247684684987845,0.11900000000007885
1,03/03/21 08:25:09,asteroids,dqn,0,41,92102,3612,4585,310,2.8988111495299056,0.08300000000007782
1,03/03/21 08:25:16,asteroids,dqn,0,42,95532,3430,4756,210,2.9962869229826277,0.048800000000077316
1,03/03/21 08:25:22,asteroids,dqn,0,43,99018,3486,4930,110,2.81155271805433,0.014000000000077511
1,03/03/21 08:25:26,asteroids,dqn,0,44,101442,2424,5051,260,2.4694378240499644,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,03/03/21 11:39:35,asteroids,dqn,0,1,1912,1912,95,280,0.0,0.9810000000000021
1,03/03/21 11:39:37,asteroids,dqn,0,2,3676,1764,183,260,0.0,0.963400000000004
1,03/03/21 11:39:39,asteroids,dqn,0,3,5356,1680,266,210,0.0,0.9468000000000059
1,03/03/21 11:39:41,asteroids,dqn,0,4,7606,2250,378,380,0.0,0.9244000000000083
1,03/03/21 11:39:43,asteroids,dqn,0,5,9828,2222,489,360,0.0,0.9022000000000108
1,03/03/21 11:39:45,asteroids,dqn,0,6,11850,2022,590,530,0.0,0.882000000000013
1,03/03/21 11:39:47,asteroids,dqn,0,7,13680,1830,681,480,0.0,0.863800000000015
1,03/03/21 11:39:53,asteroids,dqn,0,8,19900,6220,991,1180,0.0,0.8018000000000218
1,03/03/21 11:39:57,asteroids,dqn,0,9,21890,1990,1090,180,3.418098430154549,0.782000000000024
1,03/03/21 11:40:02,asteroids,dqn,0,10,24512,2622,1221,330,3.7868563542615448,0.7558000000000269
1,03/03/21 11:40:05,asteroids,dqn,0,11,26500,1988,1320,430,2.7928974973377385,0.7360000000000291
1,03/03/21 11:40:12,asteroids,dqn,0,12,29534,3034,1471,530,3.530529319823128,0.7058000000000324
1,03/03/21 11:40:17,asteroids,dqn,0,13,32414,2880,1614,580,3.11722435318183,0.6772000000000356
