Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/13/21 20:19:23,battle_zone,dqn,0,1,4301,4301,215,2000,0.0,0.9570000000000047
1,07/13/21 20:19:28,battle_zone,dqn,0,2,9034,4733,451,4000,0.0,0.9098000000000099
1,07/13/21 20:19:36,battle_zone,dqn,0,3,16055,7021,802,1000,0.0,0.8396000000000177
1,07/13/21 20:19:43,battle_zone,dqn,0,4,21216,5161,1060,8000,33.329633524827656,0.7880000000000233
1,07/13/21 20:19:52,battle_zone,dqn,0,5,26413,5197,1319,2000,7.3221349706554975,0.736200000000029
1,07/13/21 20:20:03,battle_zone,dqn,0,6,32018,5605,1599,8000,14.281749596972597,0.6802000000000352
1,07/13/21 20:20:07,battle_zone,dqn,0,7,34249,2231,1710,1000,26.613460835914506,0.6580000000000377
1,07/13/21 20:20:22,battle_zone,dqn,0,8,41722,7473,2083,0,12.429379169590336,0.5834000000000459
1,07/13/21 20:20:38,battle_zone,dqn,0,9,50313,8591,2512,3000,9.927131368618438,0.49760000000005533
1,07/13/21 20:20:51,battle_zone,dqn,0,10,57072,6759,2849,2000,10.784638946093851,0.43020000000006275
1,07/13/21 20:21:08,battle_zone,dqn,0,11,65679,8607,3279,6000,9.635241883114853,0.3442000000000722
1,07/13/21 20:21:17,battle_zone,dqn,0,12,70192,4513,3504,1000,13.948815834344973,0.2992000000000772
1,07/13/21 20:21:31,battle_zone,dqn,0,13,77839,7647,3886,4000,9.86444955433169,0.22280000000008182
1,07/13/21 20:21:45,battle_zone,dqn,0,14,84816,6977,4234,1000,14.723165125491839,0.15320000000007983
1,07/13/21 20:21:55,battle_zone,dqn,0,15,90461,5645,4516,0,16.960612257710974,0.09680000000007821
1,07/13/21 20:22:09,battle_zone,dqn,0,16,97620,7159,4873,3000,7.0195888250053216,0.025400000000077458
1,07/13/21 20:22:25,battle_zone,dqn,0,17,102275,4655,5105,0,10.234920472199331,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/13/21 20:24:27,battle_zone,dqn,0,1,6299,6299,314,4000,0.0,0.9372000000000069
1,07/13/21 20:24:32,battle_zone,dqn,0,2,10778,4479,537,2000,0.0,0.8926000000000118
1,07/13/21 20:24:41,battle_zone,dqn,0,3,18683,7905,932,3000,0.0,0.8136000000000205
1,07/13/21 20:24:46,battle_zone,dqn,0,4,22348,3665,1115,3000,11.157375562457933,0.7770000000000246
1,07/13/21 20:24:56,battle_zone,dqn,0,5,27243,4895,1359,1000,10.753501402408832,0.7282000000000299
1,07/13/21 20:25:05,battle_zone,dqn,0,6,32250,5007,1609,1000,6.54935592027182,0.6782000000000354
1,07/13/21 20:25:16,battle_zone,dqn,0,7,35261,3011,1759,1000,10.130134888153014,0.6482000000000387
1,07/13/21 20:25:25,battle_zone,dqn,0,8,40076,4815,1999,1000,7.288128525880044,0.600200000000044
1,07/13/21 20:25:35,battle_zone,dqn,0,9,44765,4689,2233,1000,10.770659933393322,0.5534000000000492
1,07/13/21 20:25:47,battle_zone,dqn,0,10,51198,6433,2554,4000,8.199113745945624,0.48920000000005626
1,07/13/21 20:25:55,battle_zone,dqn,0,11,55283,4085,2758,4000,9.799024676050726,0.44840000000006075
1,07/13/21 20:26:06,battle_zone,dqn,0,12,60858,5575,3036,0,9.50690708689681,0.3928000000000669
1,07/13/21 20:26:16,battle_zone,dqn,0,13,65945,5087,3290,5000,6.445331103470669,0.34200000000007247
1,07/13/21 20:26:36,battle_zone,dqn,0,14,76722,10777,3828,8000,10.023783490726194,0.23440000000008215
1,07/13/21 20:26:44,battle_zone,dqn,0,15,80967,4245,4040,5000,10.019021170826852,0.19200000000008094
1,07/13/21 20:26:53,battle_zone,dqn,0,16,85538,4571,4268,1000,7.124985854073888,0.14640000000007963
1,07/13/21 20:27:02,battle_zone,dqn,0,17,90143,4605,4498,0,6.576645200653155,0.10040000000007832
1,07/13/21 20:27:16,battle_zone,dqn,0,18,97614,7471,4871,6000,9.069495324645882,0.025800000000077455
1,07/13/21 20:27:27,battle_zone,dqn,0,19,102957,5343,5138,1000,9.938740872804788,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/13/21 20:31:48,battle_zone,dqn,0,1,7017,7017,350,3000,0.0,0.9300000000000077
1,07/13/21 20:31:52,battle_zone,dqn,0,2,11344,4327,566,17000,0.0,0.8868000000000125
1,07/13/21 20:31:56,battle_zone,dqn,0,3,15901,4557,793,0,0.0,0.8414000000000175
1,07/13/21 20:32:06,battle_zone,dqn,0,4,23888,7987,1192,2000,21.483013904714728,0.7616000000000263
1,07/13/21 20:32:21,battle_zone,dqn,0,5,31355,7467,1565,11000,12.429810820494529,0.6870000000000345
1,07/13/21 20:32:31,battle_zone,dqn,0,6,36970,5615,1845,1000,20.08578779681276,0.6310000000000406
1,07/13/21 20:32:48,battle_zone,dqn,0,7,41549,4579,2073,1000,13.154682690330924,0.5854000000000457
1,07/13/21 20:32:58,battle_zone,dqn,0,8,46708,5159,2330,0,7.809425175203728,0.5340000000000513
1,07/13/21 20:33:11,battle_zone,dqn,0,9,53453,6745,2667,2000,8.92593216070132,0.46660000000005875
1,07/13/21 20:33:20,battle_zone,dqn,0,10,58066,4613,2897,0,5.481509456920321,0.4206000000000638
1,07/13/21 20:33:28,battle_zone,dqn,0,11,62269,4203,3107,5000,11.415383064198487,0.37860000000006844
1,07/13/21 20:33:42,battle_zone,dqn,0,12,69380,7111,3462,2000,15.977583042592165,0.30760000000007626
1,07/13/21 20:34:19,battle_zone,dqn,0,13,79803,10423,3983,6000,8.171257344890545,0.20340000000008127
1,07/13/21 20:34:41,battle_zone,dqn,0,14,90558,10755,4520,0,11.890972082616894,0.09600000000007819
1,07/13/21 20:34:55,battle_zone,dqn,0,15,98337,7779,4908,1000,8.697036336577476,0.0184000000000775
1,07/13/21 20:35:13,battle_zone,dqn,0,16,107558,9221,5369,4000,13.584533026752394,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/13/21 22:30:47,battle_zone,dqn,0,1,5279,5279,263,0,0.0,0.9474000000000058
1,07/13/21 22:30:52,battle_zone,dqn,0,2,9884,4605,493,1000,0.0,0.9014000000000109
1,07/13/21 22:30:56,battle_zone,dqn,0,3,13649,3765,681,1000,0.0,0.863800000000015
1,07/13/21 22:31:03,battle_zone,dqn,0,4,19560,5911,976,5000,0.0,0.8048000000000215
1,07/13/21 22:31:15,battle_zone,dqn,0,5,23289,3729,1162,1000,10.154847959431937,0.7676000000000256
1,07/13/21 22:31:28,battle_zone,dqn,0,6,29554,6265,1475,2000,5.206721264150054,0.7050000000000325
1,07/13/21 22:31:38,battle_zone,dqn,0,7,34975,5421,1746,4000,6.993079263100109,0.6508000000000385
1,07/13/21 22:31:47,battle_zone,dqn,0,8,39530,4555,1973,4000,8.924359416151804,0.6054000000000435
1,07/13/21 22:32:02,battle_zone,dqn,0,9,43787,4257,2185,1000,5.304534023788809,0.5630000000000481
1,07/13/21 22:32:13,battle_zone,dqn,0,10,49026,5239,2446,2000,8.169660490348962,0.5108000000000539
1,07/13/21 22:32:22,battle_zone,dqn,0,11,53659,4633,2677,1000,8.768783788987205,0.46460000000005897
1,07/13/21 22:32:30,battle_zone,dqn,0,12,57870,4211,2887,1000,7.208401693118853,0.4226000000000636
1,07/13/21 22:32:44,battle_zone,dqn,0,13,61541,3671,3070,2000,7.6358088364239345,0.3860000000000676
1,07/13/21 22:33:00,battle_zone,dqn,0,14,69900,8359,3487,6000,6.607627383664434,0.3026000000000768
1,07/13/21 22:33:28,battle_zone,dqn,0,15,77711,7811,3877,4000,9.338552600806372,0.22460000000008187
1,07/13/21 22:33:47,battle_zone,dqn,0,16,86702,8991,4326,5000,10.040031836837638,0.1348000000000793
1,07/13/21 22:34:02,battle_zone,dqn,0,17,94453,7751,4713,4000,12.364440081508747,0.057400000000077264
1,07/13/21 22:34:35,battle_zone,dqn,0,18,111202,16749,5550,1000,9.116969496571217,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/13/21 22:34:54,battle_zone,dqn,0,1,5203,5203,260,2000,0.0,0.9480000000000057
1,07/13/21 22:35:00,battle_zone,dqn,0,2,11644,6441,582,4000,0.0,0.8836000000000128
1,07/13/21 22:35:04,battle_zone,dqn,0,3,15873,4229,793,3000,0.0,0.8414000000000175
1,07/13/21 22:35:09,battle_zone,dqn,0,4,20394,4521,1019,0,0.006640984327532351,0.7962000000000224
1,07/13/21 22:35:19,battle_zone,dqn,0,5,25701,5307,1284,1000,7.57408463533361,0.7432000000000283
1,07/13/21 22:35:26,battle_zone,dqn,0,6,29182,3481,1458,1000,10.895791207106688,0.7084000000000321
1,07/13/21 22:35:33,battle_zone,dqn,0,7,33245,4063,1661,3000,13.1183136263302,0.6678000000000366
1,07/13/21 22:35:42,battle_zone,dqn,0,8,37574,4329,1877,2000,7.519562064490014,0.6246000000000413
1,07/13/21 22:35:54,battle_zone,dqn,0,9,43755,6181,2186,0,7.7075019512685925,0.5628000000000482
1,07/13/21 22:36:01,battle_zone,dqn,0,10,47434,3679,2369,2000,8.329325858444564,0.5262000000000522
1,07/13/21 22:36:10,battle_zone,dqn,0,11,51821,4387,2588,1000,9.254786443883118,0.482400000000057
1,07/13/21 22:36:18,battle_zone,dqn,0,12,56204,4383,2807,1000,8.097957573951943,0.43860000000006183
1,07/13/21 22:36:32,battle_zone,dqn,0,13,63475,7271,3170,0,7.635344821642583,0.3660000000000698
1,07/13/21 22:36:40,battle_zone,dqn,0,14,67300,3825,3361,1000,5.3167734989779385,0.32780000000007403
