Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,05/09/21 20:58:50,breakout,dqn,0,1,548,548,27,0,0.0,0.9946000000000006
1,05/09/21 20:58:51,breakout,dqn,0,2,1565,1017,77,2,0.0,0.9846000000000017
1,05/09/21 20:58:52,breakout,dqn,0,3,2256,691,111,1,0.0,0.9778000000000024
1,05/09/21 20:58:53,breakout,dqn,0,4,3093,837,152,2,0.0,0.9696000000000033
1,05/09/21 20:58:54,breakout,dqn,0,5,4272,1179,210,5,0.0,0.9580000000000046
1,05/09/21 20:58:55,breakout,dqn,0,6,5039,767,248,2,0.0,0.9504000000000055
1,05/09/21 20:58:56,breakout,dqn,0,7,5856,817,288,2,0.0,0.9424000000000063
1,05/09/21 20:58:57,breakout,dqn,0,8,6894,1038,339,3,0.0,0.9322000000000075
1,05/09/21 20:58:58,breakout,dqn,0,9,7551,657,371,0,0.0,0.9258000000000082
1,05/09/21 20:58:59,breakout,dqn,0,10,8709,1158,428,4,0.0,0.9144000000000094
1,05/09/21 20:59:00,breakout,dqn,0,11,9766,1057,480,3,0.0,0.9040000000000106
1,05/09/21 20:59:01,breakout,dqn,0,12,10297,531,506,0,0.0,0.8988000000000111
1,05/09/21 20:59:01,breakout,dqn,0,13,10934,637,537,1,0.0,0.8926000000000118
1,05/09/21 20:59:02,breakout,dqn,0,14,11531,597,566,0,0.0,0.8868000000000125
1,05/09/21 20:59:03,breakout,dqn,0,15,12310,779,604,2,0.0,0.8792000000000133
1,05/09/21 20:59:03,breakout,dqn,0,16,12847,537,630,0,0.0,0.8740000000000139
1,05/09/21 20:59:04,breakout,dqn,0,17,13398,551,657,0,0.0,0.8686000000000145
1,05/09/21 20:59:05,breakout,dqn,0,18,14401,1003,707,3,0.0,0.8586000000000156
1,05/09/21 20:59:06,breakout,dqn,0,19,15196,795,746,2,0.0,0.8508000000000164
1,05/09/21 20:59:07,breakout,dqn,0,20,15847,651,778,0,0.0,0.8444000000000171
