Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/09/21 23:49:37,enduro,dqn,0,1,13312,13312,665,0,0.0,0.8670000000000146
1,07/09/21 23:49:56,enduro,dqn,0,2,26624,13312,1330,1,0.018477810316054697,0.7340000000000293
1,07/09/21 23:50:23,enduro,dqn,0,3,39936,13312,1995,0,0.01585182532579049,0.6010000000000439
1,07/09/21 23:50:49,enduro,dqn,0,4,53248,13312,2660,5,0.016357025325754854,0.4680000000000586
1,07/09/21 23:51:16,enduro,dqn,0,5,66560,13312,3325,0,0.025979175736583454,0.33500000000007324
1,07/09/21 23:52:07,enduro,dqn,0,6,79872,13312,3990,9,0.04501948994111006,0.20200000000008123
1,07/09/21 23:52:33,enduro,dqn,0,7,93184,13312,4655,14,0.05682452231314572,0.06900000000007742
1,07/09/21 23:53:00,enduro,dqn,0,8,106496,13312,5320,36,0.06626544322212596,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/09/21 23:53:37,enduro,dqn,0,1,13312,13312,665,0,0.0,0.8670000000000146
1,07/09/21 23:53:56,enduro,dqn,0,2,26624,13312,1330,0,0.014253905443361074,0.7340000000000293
1,07/09/21 23:54:22,enduro,dqn,0,3,39936,13312,1995,0,0.0177962272527911,0.6010000000000439
1,07/09/21 23:54:49,enduro,dqn,0,4,53248,13312,2660,0,0.02435195371729507,0.4680000000000586
1,07/09/21 23:55:15,enduro,dqn,0,5,66560,13312,3325,4,0.027881869393350356,0.33500000000007324
1,07/09/21 23:56:03,enduro,dqn,0,6,79872,13312,3990,8,0.02936595303135509,0.20200000000008123
1,07/09/21 23:56:30,enduro,dqn,0,7,93184,13312,4655,20,0.043362479130961896,0.06900000000007742
1,07/09/21 23:56:56,enduro,dqn,0,8,106496,13312,5320,20,0.05568871087800004,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/10/21 00:03:58,enduro,dqn,0,1,13312,13312,665,0,0.0,0.8670000000000146
1,07/10/21 00:04:17,enduro,dqn,0,2,26624,13312,1330,0,0.024126811779285894,0.7340000000000293
1,07/10/21 00:04:44,enduro,dqn,0,3,39936,13312,1995,0,0.0254300332644671,0.6010000000000439
1,07/10/21 00:05:11,enduro,dqn,0,4,53248,13312,2660,7,0.04067275362581587,0.4680000000000586
1,07/10/21 00:05:38,enduro,dqn,0,5,66560,13312,3325,2,0.049069534462290336,0.33500000000007324
1,07/10/21 00:06:28,enduro,dqn,0,6,79872,13312,3990,0,0.05344162349931402,0.20200000000008123
1,07/10/21 00:06:55,enduro,dqn,0,7,93184,13312,4655,0,0.053582492061464274,0.06900000000007742
1,07/10/21 00:07:22,enduro,dqn,0,8,106496,13312,5320,4,0.06124090462507882,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/10/21 00:07:54,enduro,dqn,0,1,13312,13312,665,0,0.0,0.8670000000000146
1,07/10/21 00:08:13,enduro,dqn,0,2,26624,13312,1330,0,0.024764581387521835,0.7340000000000293
1,07/10/21 00:08:39,enduro,dqn,0,3,39936,13312,1995,1,0.024762450029329447,0.6010000000000439
1,07/10/21 00:09:06,enduro,dqn,0,4,53248,13312,2660,1,0.026457579666012282,0.4680000000000586
1,07/10/21 00:09:32,enduro,dqn,0,5,66560,13312,3325,0,0.035779957039946554,0.33500000000007324
1,07/10/21 00:10:20,enduro,dqn,0,6,79872,13312,3990,1,0.04695681399309514,0.20200000000008123
1,07/10/21 00:10:47,enduro,dqn,0,7,93184,13312,4655,9,0.0515496734535344,0.06900000000007742
1,07/10/21 00:11:14,enduro,dqn,0,8,106496,13312,5320,11,0.06158349867868069,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,07/10/21 00:11:51,enduro,dqn,0,1,13312,13312,665,0,0.0,0.8670000000000146
1,07/10/21 00:12:11,enduro,dqn,0,2,26624,13312,1330,0,0.03211019006728127,0.7340000000000293
1,07/10/21 00:12:37,enduro,dqn,0,3,39936,13312,1995,0,0.03118078642824934,0.6010000000000439
1,07/10/21 00:13:04,enduro,dqn,0,4,53248,13312,2660,0,0.040488648224840815,0.4680000000000586
1,07/10/21 00:13:32,enduro,dqn,0,5,66560,13312,3325,0,0.03717218106998277,0.33500000000007324
1,07/10/21 00:14:19,enduro,dqn,0,6,79872,13312,3990,0,0.039190551680891424,0.20200000000008123
1,07/10/21 00:14:47,enduro,dqn,0,7,93184,13312,4655,11,0.04859121364445975,0.06900000000007742
1,07/10/21 00:15:14,enduro,dqn,0,8,106496,13312,5320,1,0.050615595505679456,0.01
