Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,05/09/21 22:13:38,pitfall,dqn,0,1,5942,5942,297,-542,0.0,0.9406000000000065
1,05/09/21 22:13:42,pitfall,dqn,0,2,9757,3815,487,0,0.0,0.9026000000000107
1,05/09/21 22:13:52,pitfall,dqn,0,3,18985,9228,948,-300,0.0,0.8104000000000209
1,05/09/21 22:13:54,pitfall,dqn,0,4,20203,1218,1008,0,0.3069298402406275,0.7984000000000222
1,05/09/21 22:14:44,pitfall,dqn,0,5,46391,26188,2317,-1254,1.0234094257726383,0.536600000000051
1,05/09/21 22:14:49,pitfall,dqn,0,6,48829,2438,2438,-98,0.9445640005889193,0.5124000000000537
1,05/09/21 22:14:57,pitfall,dqn,0,7,53006,4177,2646,-31,0.8410862340908631,0.4708000000000583
1,05/09/21 22:14:59,pitfall,dqn,0,8,54282,1276,2709,0,0.6354423422638017,0.45820000000005967
1,05/09/21 22:15:03,pitfall,dqn,0,9,56018,1736,2795,0,0.9575844653868227,0.44100000000006156
1,05/09/21 22:15:08,pitfall,dqn,0,10,59036,3018,2945,-46,0.8693214339208852,0.41100000000006487
1,05/09/21 22:15:22,pitfall,dqn,0,11,66176,7140,3301,-200,0.7022490152488122,0.3398000000000727
1,05/09/21 22:15:26,pitfall,dqn,0,12,67931,1755,3388,-33,1.6066121245717764,0.3224000000000746
1,05/09/21 22:15:29,pitfall,dqn,0,13,69463,1532,3464,0,1.333514490007043,0.3072000000000763
1,05/09/21 22:15:39,pitfall,dqn,0,14,74799,5336,3730,-315,1.0577432190682774,0.25400000000008216
1,05/09/21 22:15:41,pitfall,dqn,0,15,75794,995,3779,0,0.9801757595414529,0.24420000000008243
1,05/09/21 22:15:43,pitfall,dqn,0,16,77020,1226,3840,-21,0.6498919838806614,0.23200000000008209
1,05/09/21 22:15:47,pitfall,dqn,0,17,78063,1043,3892,-2,0.9951986655091437,0.2216000000000818
1,05/09/21 22:15:50,pitfall,dqn,0,18,79289,1226,3953,0,0.6740140253445134,0.20940000000008144
1,05/09/21 22:15:53,pitfall,dqn,0,19,81044,1755,4040,0,0.7635509450587311,0.19200000000008094
1,05/09/21 22:15:57,pitfall,dqn,0,20,83039,1995,4139,-84,0.47459436058367527,0.17220000000008037
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,05/09/21 22:19:40,pitfall,dqn,0,1,5051,5051,252,-460,0.0,0.9496000000000056
1,05/09/21 22:19:43,pitfall,dqn,0,2,7817,2766,390,-49,0.0,0.9220000000000086
1,05/09/21 22:19:45,pitfall,dqn,0,3,10372,2555,517,-6,0.0,0.8966000000000114
1,05/09/21 22:19:48,pitfall,dqn,0,4,13152,2780,655,0,0.0,0.8690000000000144
1,05/09/21 22:19:50,pitfall,dqn,0,5,15228,2076,758,-18,0.0,0.8484000000000167
1,05/09/21 22:19:52,pitfall,dqn,0,6,17260,2032,859,0,0.0,0.8282000000000189
1,05/09/21 22:19:54,pitfall,dqn,0,7,19035,1775,947,0,0.0,0.8106000000000209
1,05/09/21 22:19:58,pitfall,dqn,0,8,21310,2275,1060,-20,0.26942457842330136,0.7880000000000233
1,05/09/21 22:20:01,pitfall,dqn,0,9,22306,996,1109,-22,0.48041057476075366,0.7782000000000244
1,05/09/21 22:20:06,pitfall,dqn,0,10,24578,2272,1222,0,0.27018206622285235,0.7556000000000269
1,05/09/21 22:20:13,pitfall,dqn,0,11,28177,3599,1401,0,0.24460905253231016,0.7198000000000309
1,05/09/21 22:20:20,pitfall,dqn,0,12,31712,3535,1577,0,0.49183040406602563,0.6846000000000347
1,05/09/21 22:20:23,pitfall,dqn,0,13,33267,1555,1654,0,0.33797441734350286,0.6692000000000364
1,05/09/21 22:20:26,pitfall,dqn,0,14,35009,1742,1741,-53,0.2944724598803857,0.6518000000000383
1,05/09/21 22:20:31,pitfall,dqn,0,15,37505,2496,1865,0,0.3543558352408112,0.6270000000000411
1,05/09/21 22:21:04,pitfall,dqn,0,16,54460,16955,2712,-400,0.3619915343698909,0.45760000000005974
1,05/09/21 22:21:10,pitfall,dqn,0,17,56178,1718,2797,-74,0.23048599176399875,0.4406000000000616
1,05/09/21 22:21:13,pitfall,dqn,0,18,57656,1478,2870,-22,0.29844843655559494,0.4260000000000632
1,05/09/21 22:21:19,pitfall,dqn,0,19,60691,3035,3021,-153,0.2703154155437054,0.39580000000006654
1,05/09/21 22:21:34,pitfall,dqn,0,20,68526,7835,3412,-851,0.5988186363664278,0.31760000000007516
1,05/09/21 22:21:38,pitfall,dqn,0,21,70524,1998,3511,-81,0.8541454662433049,0.29780000000007734
1,05/09/21 22:21:39,pitfall,dqn,0,22,71519,995,3560,-9,0.6053429379098816,0.2880000000000784
