Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,05/09/21 21:20:34,video_pinball,dqn,0,1,4396,4396,219,1405,0.0,0.9562000000000048
1,05/09/21 21:20:39,video_pinball,dqn,0,2,10091,5695,503,8209,0.0,0.8994000000000111
1,05/09/21 21:20:45,video_pinball,dqn,0,3,16055,5964,801,7612,0.0,0.8398000000000176
1,05/09/21 21:20:50,video_pinball,dqn,0,4,20547,4492,1025,2614,9.887458801269531,0.7950000000000226
1,05/09/21 21:21:01,video_pinball,dqn,0,5,26314,5767,1313,4308,17.97070636351903,0.7374000000000289
1,05/09/21 21:21:15,video_pinball,dqn,0,6,32978,6664,1646,4809,17.120119594419037,0.6708000000000363
1,05/09/21 21:21:31,video_pinball,dqn,0,7,40826,7848,2038,5417,17.048889421629813,0.5924000000000449
1,05/09/21 21:21:44,video_pinball,dqn,0,8,47402,6576,2366,2606,15.436683309332627,0.5268000000000521
1,05/09/21 21:21:53,video_pinball,dqn,0,9,51468,4066,2569,1909,14.084896778985858,0.4862000000000566
1,05/09/21 21:22:05,video_pinball,dqn,0,10,57824,6356,2886,8005,17.952535928804664,0.42280000000006357
1,05/09/21 21:22:12,video_pinball,dqn,0,11,61052,3228,3047,3003,14.352213203907013,0.3906000000000671
1,05/09/21 21:22:23,video_pinball,dqn,0,12,66289,5237,3308,2407,15.12120872518191,0.33840000000007286
1,05/09/21 21:22:27,video_pinball,dqn,0,13,68665,2376,3426,300,17.014157248982066,0.31480000000007546
1,05/09/21 21:22:35,video_pinball,dqn,0,14,72393,3728,3612,2604,18.922270132147748,0.27760000000007956
1,05/09/21 21:22:54,video_pinball,dqn,0,15,81706,9313,4077,16431,16.255470479148087,0.18460000000008073
1,05/09/21 21:23:21,video_pinball,dqn,0,16,95297,13591,4756,4015,17.301651462536448,0.048800000000077316
1,05/09/21 21:23:44,video_pinball,dqn,0,17,106532,11235,5317,9609,16.906036702224185,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,05/09/21 21:24:38,video_pinball,dqn,0,1,9329,9329,466,30409,0.0,0.9068000000000103
1,05/09/21 21:24:48,video_pinball,dqn,0,2,17695,8366,884,7022,0.0,0.8232000000000195
1,05/09/21 21:25:10,video_pinball,dqn,0,3,29412,11717,1469,30723,39.64203709185633,0.7062000000000324
1,05/09/21 21:25:40,video_pinball,dqn,0,4,44409,14997,2218,38233,48.82557471423225,0.5564000000000489
1,05/09/21 21:25:57,video_pinball,dqn,0,5,52425,8016,2618,2717,43.829119272753594,0.47640000000005767
1,05/09/21 21:26:03,video_pinball,dqn,0,6,55368,2943,2765,4502,47.396556589338516,0.4470000000000609
1,05/09/21 21:26:13,video_pinball,dqn,0,7,60573,5205,3025,802,36.18808630429781,0.39500000000006663
1,05/09/21 21:26:21,video_pinball,dqn,0,8,64028,3455,3197,901,27.594376275705738,0.3606000000000704
1,05/09/21 21:26:41,video_pinball,dqn,0,9,74177,10149,3704,11313,34.25854145240275,0.2592000000000816
1,05/09/21 21:26:56,video_pinball,dqn,0,10,81393,7216,4064,4609,38.00583550396065,0.1872000000000808
1,05/09/21 21:27:21,video_pinball,dqn,0,11,93820,12427,4685,28826,29.911632910659236,0.06300000000007724
1,05/09/21 21:28:14,video_pinball,dqn,0,12,107907,14087,5389,12519,35.258781693198465,0.01
Train,date-time,rom,method,checkpoint,Episode,Total frames,Episode_frames,buff,Reward,td_erro,episilon
1,05/09/21 21:28:48,video_pinball,dqn,0,1,8035,8035,401,9314,0.0,0.9198000000000088
1,05/09/21 21:28:51,video_pinball,dqn,0,2,11051,3016,551,1306,0.0,0.8898000000000121
